User_id,content_id,watch_date,watch_time_minutes,device_type
88779,45087,2024-06-08 04:14:04,16.78,Smart_TV
14809,6889,2025-06-17 23:23:03,112.7,Desktop
41190,38220,2024-09-25 05:00:43,174.55,Mobile
57988,14177,2022-07-03 09:13:25,86.24,Tablet
73696,47659,2025-11-21 13:55:23,177.67,Smart_TV
17604,25595,2023-01-06 10:37:43,71.55,Mobile
97175,47643,2024-12-18 16:00:46,53.53,Tablet
21953,26492,2022-02-28 08:04:57,78.2,Mobile
60081,36967,2023-08-03 06:40:53,139.76,Smart_TV
95981,16454,2024-08-28 23:17:24,17.47,Tablet
36167,38382,2022-10-31 00:49:33,111.61,Mobile
23449,33959,2025-11-23 17:43:06,149.45,Smart_TV
83828,6420,2024-06-21 10:39:20,29.7,Desktop
64901,10839,2023-08-26 04:49:27,121.95,Mobile
73935,46589,2023-04-26 20:56:20,109.05,Tablet
62492,26795,2022-07-08 23:32:04,12.97,Mobile
31749,14763,2025-03-23 23:30:00,140.27,Desktop
90825,20405,2026-03-31 23:45:56,98.5,Tablet
81031,10374,2022-10-02 11:55:47,123.85,Smart_TV
27465,25501,2023-04-06 16:05:11,148.92,Smart_TV
80722,17106,2024-05-31 15:51:01,101.18,Desktop
79008,21718,2022-01-27 08:47:03,63.98,Tablet
13062,27881,2023-11-24 06:07:49,140.57,Desktop
99724,1710,2023-03-07 13:01:52,111.6,Tablet
49388,42326,2024-12-25 16:26:08,67.01,Smart_TV
39262,44066,2023-07-22 14:39:37,100.08,Desktop
17779,5310,2023-11-03 05:12:18,83.78,Desktop
2606,43766,2022-03-08 14:01:21,58.9,Mobile
55903,6562,2025-02-28 18:06:14,6.55,Desktop
86594,23461,2025-01-14 13:53:18,32.58,Mobile
88074,45175,2024-03-01 06:52:42,31.36,Mobile
39920,11120,2025-06-16 04:56:00,98.73,Smart_TV
43434,13399,2023-12-22 06:16:07,52.25,Desktop
22853,23988,2021-11-18 02:15:49,146.77,Smart_TV
83933,49948,2025-04-04 15:32:16,20.11,Smart_TV
83254,4571,2024-05-08 00:32:29,52.44,Tablet
57872,23252,2023-02-11 16:11:53,147.46,Tablet
52847,34520,2021-12-03 00:20:42,121.67,Tablet
22587,44002,2026-01-10 12:12:44,27.94,Smart_TV
86026,27173,2021-09-20 12:06:06,147.9,Mobile
76921,26618,2022-10-28 10:38:02,36.96,Desktop
45710,46193,2023-11-21 21:13:14,77.44,Smart_TV
81435,20845,2022-07-27 07:14:10,12.62,Mobile
67305,13398,2024-01-25 06:00:21,121.88,Mobile
65487,19532,2022-05-05 01:51:40,84.92,Desktop
2897,6000,2024-03-14 11:26:27,167.29,Desktop
50144,34988,2025-11-27 07:23:41,113.44,Smart_TV
65469,26879,2024-07-18 23:46:28,30.36,Tablet
75201,17220,2023-12-01 19:10:54,134.66,Tablet
49191,42898,2022-06-22 10:52:08,83.58,Smart_TV
64171,26913,2023-07-23 21:23:16,73.22,Smart_TV
34635,18698,2022-07-05 22:29:35,121.73,Desktop
28446,10995,2023-06-09 17:56:05,111.23,Desktop
16154,46357,2022-11-14 13:25:03,87.66,Desktop
89924,35836,2025-02-27 00:23:32,42.76,Tablet
97801,31056,2024-05-25 17:59:56,51.03,Tablet
73213,20137,2023-07-24 15:58:00,44.63,Desktop
97736,1531,2025-09-29 15:40:41,61.1,Desktop
90936,10417,2021-10-16 10:47:57,68.43,Tablet
52130,35932,2024-07-30 13:30:57,106.28,Tablet
50896,19283,2023-07-12 02:25:12,99.63,Smart_TV
55669,6572,2021-10-23 03:48:51,86.06,Mobile
7334,15718,2021-06-15 11:37:38,169.95,Mobile
22649,43613,2022-06-10 14:29:34,53.03,Mobile
47004,12879,2023-10-11 20:17:28,40.24,Tablet
62406,35287,2025-05-22 10:26:47,78.08,Tablet
38458,39452,2023-08-01 12:41:46,154.41,Desktop
14945,26876,2025-05-23 18:46:52,78.0,Mobile
30694,45716,2024-10-05 08:12:17,133.79,Smart_TV
64760,33832,2021-10-16 17:41:57,20.57,Tablet
76062,46815,2025-01-13 02:50:03,112.04,Smart_TV
91273,3772,2022-12-28 01:38:42,81.49,Mobile
51188,11412,2023-10-15 07:06:56,167.17,Desktop
59411,270,2021-12-19 01:31:15,119.45,Smart_TV
89204,5912,2025-05-01 08:12:53,33.57,Smart_TV
57866,33715,2024-05-17 02:15:53,93.84,Smart_TV
58252,21998,2023-01-17 08:24:58,49.13,Smart_TV
56473,33736,2023-01-22 20:48:01,14.44,Smart_TV
1006,17833,2022-02-28 20:08:39,111.23,Desktop
93732,48358,2024-01-27 19:31:36,91.6,Desktop
95768,28036,2024-09-18 12:31:24,171.49,Smart_TV
29277,40963,2024-02-25 05:04:30,98.82,Smart_TV
13876,27672,2022-01-10 19:35:46,176.89,Mobile
28871,23658,2024-08-05 03:21:04,93.52,Smart_TV
849,8717,2024-06-08 05:45:11,157.41,Desktop
38037,1203,2024-05-08 06:22:35,133.24,Mobile
81763,42935,2025-01-25 10:39:35,171.26,Mobile
96946,4479,2024-03-17 13:01:57,107.46,Desktop
45013,49816,2024-06-21 22:33:23,147.85,Tablet
69368,47342,2022-12-11 04:14:13,30.45,Tablet
65434,38130,2021-10-18 15:43:17,71.03,Smart_TV
87638,28355,2023-04-20 07:57:23,134.21,Tablet
80056,19925,2022-06-20 21:34:28,31.79,Mobile
67895,45051,2025-02-12 01:11:43,125.32,Mobile
12239,43908,2024-10-14 04:44:50,99.3,Desktop
4356,34513,2025-09-11 11:28:11,44.64,Mobile
74014,7145,2024-10-28 15:11:37,80.48,Mobile
58447,47395,2022-05-18 03:08:21,144.49,Desktop
50471,28304,2025-09-25 15:13:49,62.29,Mobile
21192,27060,2024-06-15 19:19:23,13.56,Tablet
8098,30794,2025-01-17 02:52:46,139.27,Tablet
49339,36729,2023-01-20 08:24:06,37.47,Tablet
45355,9031,2023-01-08 18:29:20,72.3,Mobile
61151,37648,2023-05-16 09:46:06,74.73,Tablet
9262,37889,2021-08-03 04:38:08,75.64,Desktop
70771,4096,2024-05-05 08:10:27,9.21,Desktop
1758,20951,2026-02-06 23:02:33,104.66,Desktop
68308,37226,2023-04-28 01:59:59,118.23,Smart_TV
91993,19393,2024-09-13 11:16:43,37.55,Smart_TV
